rank,subject,title
9.7,希望让人自由。,肖申克的救赎
9.6,风华绝代。,霸王别姬
9.5,失去的才是永恒的。 ,泰坦尼克号
9.5,一部美国近现代史。,阿甘正传
9.4,最好的宫崎骏，最好的久石让。 ,千与千寻
9.4,爱是一种力量，让我们超越时空感知它的存在。,星际穿越
9.5,最美的谎言。,美丽人生
9.4,怪蜀黍和小萝莉不得不说的故事。,这个杀手不太冷
9.4,诺兰给了我们一场无法盗取的梦。,盗梦空间
9.4,如果再也不能见到你，祝你早安，午安，晚安。,楚门的世界
9.5,拯救一个人，就是拯救整个世界。,辛德勒的名单
9.4,永远都不能忘记你所爱的人。,忠犬八公的故事
9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,海上钢琴师
9.3,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,疯狂动物城
9.2,英俊版憨豆，高情商版谢耳朵。,三傻大闹宝莱坞
9.3,小瓦力，大人生。,机器人总动员
9.3,天籁一般的童声，是最接近上帝的存在。 ,放牛班的春天
9.3,香港电影史上永不过时的杰作。,无间道
9.6,比利·怀德满分作品。,控方证人
9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,寻梦环游记
9.2,一生所爱。,大话西游之大圣娶亲
9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,熔炉
9.3,满满温情的高雅喜剧。,触不可及
9.3,千万不要记恨你的对手，这样会让你失去理智。,教父
9.3,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,末代皇帝
9.2,童话世界的开端。,哈利·波特与魔法石
9.1,平民励志片。 ,当幸福来敲门
9.2,人人心中都有个龙猫，童年就永远不会消失。,龙猫
9.3,张艺谋最好的电影。,活着
9.1,真正的幸福是来自内心深处。,怦然心动
9.2,无尽的黑暗。,蝙蝠侠：黑暗骑士
9.3,史诗的终章。,指环王3：王者无敌
9,对我们国家而言，这样的电影多一部是一部。,我不是药神
9.3,Tomorrow is another day.,乱世佳人
9,你给我翻译翻译，神马叫做TMD的惊喜。,让子弹飞
9.1,最后那些最无聊的事情，才是最值得怀念的。 ,飞屋环游记
9.1,带着心爱的人在天空飞翔。,哈尔的移动城堡
9.4,1957年的理想主义。 ,十二怒汉
9.3,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,海蒂和爷爷
9.3,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,素媛
9.1,骗子大师和执著警探的你追我跑故事。 ,猫鼠游戏
9.2,对天空的追逐，永不停止。 ,天空之城
9.3,对敌人的仁慈，就是对自己残忍。,鬼子来了
9,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,摔跤吧！爸爸
9.1,瑰丽壮观、无人能及的冒险之旅。,少年派的奇幻漂流
9.3,无短评,钢琴家
9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,死亡诗社
9.2,承前启后的史诗篇章。,指环王2：双塔奇兵
9,无短评,大话西游之月光宝盒
8.9,去除成见，需要勇气。,绿皮书
9.1,凝视卑弱生命，用电影改变命运。,何以为家
9.1,无短评,闻香识女人
9.4,无短评,大闹天宫
9.1,无短评,黑客帝国
9.1,无短评,指环王1：护戒使者
9.1,无短评,罗马假日
9.3,无短评,教父2
9.1,无短评,狮子王
9.2,无短评,天堂电影院
9.2,无短评,饮食男女
9.2,电影的现实意义大过电影本身。,辩护人
9,在时间之河里感受溺水之苦。,本杰明·巴顿奇事
9,无短评,搏击俱乐部
9.1,无短评,美丽心灵
9.2,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,穿条纹睡衣的男孩
9,10年的完美句点。,哈利·波特与死亡圣器(下)
9.1,无短评,两杆大烟枪
8.9,无短评,情书
9.2,别样人生。,窃听风暴
8.9,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,功夫
9.1,无短评,音乐之声
9,不一样的导演，不一样的哈利·波特。,哈利·波特与阿兹卡班的囚徒
8.8,绝对意义上的美轮美奂。,阿凡达
8.9,无短评,西西里的美丽传说
8.8,你以为你以为的就是你以为的。,看不见的客人
9.1,无短评,拯救大兵瑞恩
8.9,无短评,沉默的羔羊
9.2,无短评,小鞋子
8.9,人的命运被自己瞬间的抉择改变。,蝴蝶效应
8.9,小清新的故事里注入了大历史的情怀。,布达佩斯大饭店
9.3,无短评,还有明天
9.1,无短评,飞越疯人院
8.9,昔日翩翩少年，今日大腹便便。,禁闭岛
9,无短评,心灵捕手
8.9,孪生蝙蝠侠大战克隆金刚狼。,致命魔术
8.9,无短评,低俗小说
8.9,无短评,哈利·波特与密室
9.1,无短评,一一
9,穷尽一生，我们要学会的，不过是彼此拥抱。,超脱
8.8,无短评,喜剧之王
8.9,无短评,杀人回忆
8.9,无短评,致命ID
9.3,无短评,摩登时代
9,无短评,春光乍泄
8.8,无短评,加勒比海盗
9.3,海豚的微笑，是世界上最高明的伪装。,海豚湾
9.1,无短评,美国往事
9,梦的勾结。,红辣椒
8.8,无短评,七宗罪
8.8,无短评,唐伯虎点秋香
9.1,人言可畏。,狩猎
8.9,无短评,幽灵公主
8.8,无短评,寄生虫
8.9,无短评,甜蜜蜜
9.2,无短评,天书奇谭
8.9,诺兰就是保证。,蝙蝠侠：黑暗骑士崛起
8.8,Balalala~~~,超能陆战队
9.5,无短评,茶馆
8.9,《我是山姆》的《美丽人生》。,7号房的礼物
8.9,无短评,第六感
8.8,无短评,爱在黎明破晓前
8.9,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,爱在日落黄昏时
8.9,愿我们都不用长大，每一座城堡都能永远存在。,头脑特工队
8.8,以戏谑来戏谑戏谑。,被嫌弃的松子的一生
8.8,无短评,哈利·波特与火焰杯
9.1,无短评,未麻的部屋
8.8,无短评,重庆森林
8.9,曾经的那段美好会沉淀为一辈子的记忆。,借东西的小人阿莉埃蒂
8.9,无短评,菊次郎的夏天
8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,入殓师
8.7,无短评,剪刀手爱德华
8.8,每个人心中都有一座断背山。,断背山
8.9,无短评,勇敢的心
8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,时空恋旅人
8.8,和谐的生活离不开摸头与被摸头。,驯龙高手
8.7,爱是摈弃傲慢与偏见之后的曙光。,傲慢与偏见
9.1,我的平常生活就是他人的幸福。,无人知晓
8.7,年度最佳date movie。,消失的爱人
8.8,无短评,倩女幽魂
8.9,要做就做得狠一点，这样才能活下去。,新世界
8.9,跨度十五年的欢乐与泪水。,玩具总动员3
8.8,无短评,花样年华
8.9,惠及一生的美丽。,一个叫欧维的男人决定去死
8.7,假戏真情，爱欲深海,色，戒
9.1,无短评,完美的世界
8.8,无短评,怪兽电力公司
9,无短评,教父3
8.8,无短评,阳光灿烂的日子
9,那些静得只能听见呼吸的日子里，你明白孤独即生活。,小森林 夏秋篇
8.7,无短评,天使爱美丽
8.9,无短评,侧耳倾听
9.2,无短评,哪吒闹海
8.8,无短评,九品芝麻官
8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。,被解救的姜戈
8.8,沉醉在电影的情感和视听氛围中无法自拔。,请以你的名字呼唤我
8.8,有时候幸福需要等一等。 ,幸福终点站
8.6,揭露人性的丧尸题材力作。,釜山行
8.7,Mr. I Don't Care其实也有Care的时候。,神偷奶爸
9,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,小森林 冬春篇
9,无短评,喜宴
8.8,触不到的恋人。,萤火之森
8.8,没有一人完全善，也没有一人完全恶。,告白
9.3,无短评,七武士
9,你是我最好的朋友，你是我唯一的朋友 。,玛丽和麦克斯
8.6,写给影迷，动漫迷和游戏迷的一封情书。,头号玩家
9.1,无短评,机器人之梦
8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,模仿游戏
9,无短评,惊魂记
8.8,无短评,大鱼
8.7,无短评,心灵奇旅
9.5,无短评,背靠背，脸对脸
8.5,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,你的名字。
8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,血战钢锯岭
8.7,无短评,射雕英雄传之东成西就
9,无短评,我是山姆
9,无短评,末路狂花
8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,阳光姐妹淘
8.7,恐怖分子的“秋菊打官司”。,恐怖直播
8.8,无短评,黑客帝国3：矩阵革命
9.5,无短评,高山下的花环
8.7,无短评,小丑
8.9,像吃了苏打饼一样干脆的电影。,谍影重重3
8.7,怼天怼地，你走后，她与世界为敌。,三块广告牌
8.8,无短评,无间道2
8.7,真相就在眼前。,电锯惊魂
8.8,Jared Leto的腿比女人还美！,达拉斯买家俱乐部
8.7,老少皆宜，这就是好莱坞动画的魅力。,疯狂原始人
8.9,无短评,绿里奇迹
8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,爱在午夜降临前
8.6,中国版《两杆大烟枪》。,疯狂的石头
9.1,无短评,雨中曲
8.9,无短评,2001太空漫游
8.8,是枝裕和的家庭习作。,海街日记
9,无短评,上帝之城
8.9,无短评,风之谷
8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,心迷宫
8.6,无短评,英雄本色
8.7,无短评,记忆碎片
8.8,无短评,纵横四海
8.7,迪士尼和皮克斯拿错剧本的产物。,无敌破坏王
8.9,当这个世界闭上双眼，他却敞开了怀抱。,卢旺达饭店
8.5,不要企图在重复中寻找已经失去的爱。,恐怖游轮
9.3,无短评,芙蓉镇
9,无短评,东京教父
8.9,无短评,牯岭街少年杀人事件
8.7,我们组成了家。,小偷家族
8.7,无短评,魔女宅急便
8.7,无短评,冰川时代
9.2,无短评,忠犬八公物语
8.7,岁月流逝，来日可追。,岁月神偷
8.7,用剩余不多的时间，去燃烧整个生命。,遗愿清单
8.7,人们可以登上月球，却永远无法探索人们内心的宇宙。,大佛普拉斯
8.7,始于荒诞，止于更荒诞。,荒蛮故事
8.6,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,源代码
8.6,无短评,白日梦想家
8.6,无短评,花束般的恋爱
8.4,无短评,爱乐之城
8.7,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,疯狂的麦克斯4：狂暴之路
8.9,坚硬的信仰。,可可西里
8.9,感情不分食草或者食肉。,你看起来好像很好吃
8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,贫民窟的百万富翁
8.6,无短评,波西米亚狂想曲
9.3,无短评,城市之光
8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,爆裂鼓手
8.8,无短评,大红灯笼高高挂
8.6,最忠于原著的一部。,哈利·波特与死亡圣器(上)
8.7,昆汀同学越来越变态了，比北野武还杜琪峰。,无耻混蛋
8.6,无短评,青蛇
8.8,无短评,终结者2：审判日
8.6,无短评,东邪西毒
8.6,黑暗之美。,黑天鹅
8.7,无短评,新龙门客栈
8.5,黑小鸭速效美白记。,初恋这件小事
8.8,无短评,千钧一发
8.7,无短评,人工智能
8.6,无短评,崖上的波妞
8.9,无短评,虎口脱险
8.7,无短评,雨人
8.6,无短评,哈利·波特与凤凰社
8.6,小成本大魅力。,彗星来的那一夜
8.8,无短评,罗生门
8.6,我们都有权利不与自己的过去和解。,海边的曼彻斯特
8.5,无短评,火星救援
8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,恋恋笔记本
8.5,无短评,真爱至上
8.7,无短评,黑客帝国2：重装上阵
8.5,无短评,冰雪奇缘
8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,步履不停
8.8,无短评,千年女优
8.6,世界不完美，爱会有奇迹。,奇迹男孩
8.7,谁说王家卫镜头很晃？,谍影重重2
8.6,无短评,蜘蛛侠：平行宇宙
8.7,做一颗让别人需要你的棋子。,战争之王
9,无短评,攻壳机动队
8.7,每个美丽事物背后都是滴血的现实。,血钻
8.5,无短评,小姐
8.6,无短评,血观音
8.9,无短评,隐藏人物
8.8,无短评,魂断蓝桥
8.7,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,房间
